name	Px	Py	Pz	Ox	Oy	Oz	Units
FC1(Y)	1.669999e-07	9.145980e-02	1.653383e-02	-1.000000e+00	1.871831e-06	1.348202e-04	m
FC1(Z)	1.669999e-07	9.145980e-02	1.653383e-02	-4.799999e-05	-9.393398e-01	-3.429879e-01	m
FC2(X)	-3.460399e-05	5.752864e-02	6.148011e-02	-2.468001e-03	8.389764e-01	-5.441622e-01	m
FC2(Y)	-3.460399e-05	5.752864e-02	6.148011e-02	-9.999942e-01	-8.026887e-04	3.297822e-03	m
FC2(Z)	-3.460399e-05	5.752864e-02	6.148011e-02	-2.330001e-03	-5.441673e-01	-8.389735e-01	m
PC1(X)	-1.035970e-04	6.093452e-03	7.802864e-02	-7.059998e-04	9.932358e-01	-1.161130e-01	m
PC1(Y)	-1.035970e-04	6.093452e-03	7.802864e-02	-9.999990e-01	-5.608433e-04	1.282798e-03	m
PC1(Z)	-1.035970e-04	6.093452e-03	7.802864e-02	-1.209000e-03	-1.161130e-01	-9.932353e-01	m
PC2(X)	-2.660996e-06	-2.768539e-02	7.836285e-02	2.310000e-04	-9.872829e-01	-1.589730e-01	m
PC2(Y)	-2.660996e-06	-2.768539e-02	7.836285e-02	9.999985e-01	5.034033e-04	-1.673252e-03	m
PC2(Z)	-2.660996e-06	-2.768539e-02	7.836285e-02	-1.732001e-03	1.589731e-01	-9.872814e-01	m
PC3(X)	-3.970400e-05	-5.925575e-02	6.626688e-02	1.500001e-04	8.208253e-01	5.711792e-01	m
PC3(Y)	-3.970400e-05	-5.925575e-02	6.626688e-02	-9.999997e-01	-2.721323e-04	6.536882e-04	m
PC3(Z)	-3.970400e-05	-5.925575e-02	6.626688e-02	-6.920001e-04	5.711791e-01	-8.208252e-01	m
OC1(X)	-2.552200e-05	-8.050879e-02	4.276114e-02	-1.803000e-03	-4.839350e-01	-8.751021e-01	m
OC1(Y)	-2.552200e-05	-8.050879e-02	4.276114e-02	9.999967e-01	7.219063e-04	-2.459542e-03	m
OC1(Z)	-2.552200e-05	-8.050879e-02	4.276114e-02	-1.822000e-03	8.751038e-01	-4.839319e-01	m
OC2(X)	-5.233400e-05	-9.123634e-02	1.609723e-02	1.980000e-03	2.810300e-01	9.596969e-01	m
OC2(Y)	-5.233400e-05	-9.123634e-02	1.609723e-02	-9.999973e-01	-5.951987e-04	2.237439e-03	m
OC2(Z)	-5.233400e-05	-9.123634e-02	1.609723e-02	-1.199999e-03	9.596986e-01	-2.810289e-01	m
OC3(X)	2.084099e-05	-9.281213e-02	-3.506576e-02	1.379780e-01	9.601098e-02	-9.857708e-01	m
OC3(Y)	2.084099e-05	-9.281213e-02	-3.506576e-02	9.904300e-01	-1.013438e-02	1.376431e-01	m
OC3(Z)	2.084099e-05	-9.281213e-02	-3.506576e-02	-3.224999e-03	9.953287e-01	9.648997e-02	m
