name	Px	Py	Pz	Ox	Oy	Oz	Units
OR5(Z)	2.367052e-02	-1.110203e-01	8.522312e-03	-2.001580e-01	9.533599e-01	-2.259240e-01	m
OR6(X)	4.325506e-02	-1.067029e-01	-2.857025e-02	8.603421e-01	4.885851e-01	1.452450e-01	m
OR6(Y)	4.325506e-02	-1.067029e-01	-2.857025e-02	-1.497807e-01	-3.004111e-02	9.882628e-01	m
OR6(Z)	4.325506e-02	-1.067029e-01	-2.857025e-02	-4.872139e-01	8.719989e-01	-4.733499e-02	m
TR1(X)	8.704651e-02	4.119632e-02	-4.074822e-02	2.363209e-01	-9.704748e-01	4.828199e-02	m
TR1(Y)	8.704651e-02	4.119632e-02	-4.074822e-02	9.114576e-02	-2.733018e-02	-9.954625e-01	m
TR1(Z)	8.704651e-02	4.119632e-02	-4.074822e-02	-9.673908e-01	-2.396490e-01	-8.199599e-02	m
TR2(X)	9.055964e-02	2.112038e-02	-9.973552e-03	-2.130339e-01	9.722036e-01	9.714296e-02	m
TR2(Y)	9.055964e-02	2.112038e-02	-9.973552e-03	-6.056854e-03	-1.007375e-01	9.948946e-01	m
TR2(Z)	9.055964e-02	2.112038e-02	-9.973552e-03	-9.770260e-01	-2.113580e-01	-2.734900e-02	m
TR3(X)	9.535403e-02	8.067404e-04	-4.599747e-02	1.532370e-01	-9.876603e-01	3.233501e-02	m
TR3(Y)	9.535403e-02	8.067404e-04	-4.599747e-02	2.213436e-02	-2.928275e-02	-9.993261e-01	m
TR3(Z)	9.535403e-02	8.067404e-04	-4.599747e-02	-9.879414e-01	-1.538501e-01	-1.737401e-02	m
TR4(X)	9.484470e-02	-1.592348e-02	-7.257419e-03	1.416800e-02	9.947223e-01	1.016210e-01	m
TR4(Y)	9.484470e-02	-1.592348e-02	-7.257419e-03	-7.383086e-02	-1.003131e-01	9.922128e-01	m
TR4(Z)	9.484470e-02	-1.592348e-02	-7.257419e-03	-9.971701e-01	2.156000e-02	-7.202001e-02	m
TR5(X)	9.181801e-02	-4.207676e-02	-3.912197e-02	-3.338001e-01	-9.426382e-01	-3.288001e-03	m
TR5(Y)	9.181801e-02	-4.207676e-02	-3.912197e-02	2.056772e-02	-3.795967e-03	-9.997813e-01	m
TR5(Z)	9.181801e-02	-4.207676e-02	-3.912197e-02	-9.424193e-01	3.337951e-01	-2.065501e-02	m
TR6(X)	8.622649e-02	-5.461353e-02	-2.792088e-03	3.521911e-01	9.225152e-01	1.578830e-01	m
TR6(Y)	8.622649e-02	-5.461353e-02	-2.792088e-03	-7.270415e-02	-1.412151e-01	9.873056e-01	m
TR6(Z)	8.622649e-02	-5.461353e-02	-2.792088e-03	-9.331000e-01	3.591990e-01	-1.733600e-02	m
FC1(X)	-5.197801e-05	1.143702e-01	-1.051003e-02	4.511700e-02	1.928420e-01	-9.801920e-01	m
FC1(Y)	-5.197801e-05	1.143702e-01	-1.051003e-02	-9.989667e-01	3.330711e-03	-4.532589e-02	m
FC1(Z)	-5.197801e-05	1.143702e-01	-1.051003e-02	5.476001e-03	-9.812242e-01	-1.927930e-01	m
FC2(X)	-4.538901e-05	9.062669e-02	4.765339e-02	1.441201e-02	6.356894e-01	-7.718104e-01	m
FC2(Y)	-4.538901e-05	9.062669e-02	4.765339e-02	-9.998709e-01	3.672794e-03	-1.564554e-02	m
FC2(Z)	-4.538901e-05	9.062669e-02	4.765339e-02	7.111002e-03	-7.719362e-01	-6.356602e-01	m
PC1(X)	-2.089600e-05	6.206819e-02	7.093682e-02	6.307000e-03	8.719311e-01	-4.895880e-01	m
PC1(Y)	-2.089600e-05	6.206819e-02	7.093682e-02	-9.999628e-01	2.621370e-03	-8.213257e-03	m
PC1(Z)	-2.089600e-05	6.206819e-02	7.093682e-02	5.878000e-03	-4.896220e-01	-8.719150e-01	m
PC2(X)	-7.489993e-06	2.944001e-02	8.510123e-02	5.721002e-03	9.432493e-01	-3.320361e-01	m
PC2(Y)	-7.489993e-06	2.944001e-02	8.510123e-02	-9.999626e-01	3.243647e-03	-8.014851e-03	m
PC2(Z)	-7.489993e-06	2.944001e-02	8.510123e-02	6.482999e-03	-3.320689e-01	-9.432328e-01	m
PC3(X)	-2.227300e-05	-1.212292e-02	9.443218e-02	4.176000e-03	9.981810e-01	-6.014400e-02	m
PC3(Y)	-2.227300e-05	-1.212292e-02	9.443218e-02	-9.999653e-01	3.734806e-03	-7.446170e-03	m
PC3(Z)	-2.227300e-05	-1.212292e-02	9.443218e-02	7.208000e-03	-6.017300e-02	-9.981619e-01	m
PC4(X)	-4.087599e-05	-5.555366e-02	8.787715e-02	6.620001e-04	9.229551e-01	3.849070e-01	m
PC4(Y)	-4.087599e-05	-5.555366e-02	8.787715e-02	-9.999824e-01	2.879243e-03	-5.184171e-03	m
PC4(Z)	-4.087599e-05	-5.555366e-02	8.787715e-02	5.892998e-03	3.848969e-01	-9.229408e-01	m
OC1(X)	-6.415599e-05	-1.021937e-01	4.051957e-02	-4.376999e-03	4.439439e-01	8.960439e-01	m
OC1(Y)	-6.415599e-05	-1.021937e-01	4.051957e-02	-9.999782e-01	2.486985e-03	-6.116872e-03	m
OC1(Z)	-6.415599e-05	-1.021937e-01	4.051957e-02	4.943999e-03	8.960508e-01	-4.439239e-01	m
OC2(X)	-6.154201e-05	-1.175692e-01	-2.744382e-02	-5.898599e-02	6.699999e-02	9.960079e-01	m
OC2(Y)	-6.154201e-05	-1.175692e-01	-2.744382e-02	-9.982238e-01	4.392878e-03	-5.941273e-02	m
OC2(Z)	-6.154201e-05	-1.175692e-01	-2.744382e-02	8.356002e-03	9.977433e-01	-6.662202e-02	m
